,Accuracy,Epochs,Layers,Loss,Nodes
0,0.7200000286102295,30,5,0.9919874277114868,30
0,0.7319999933242798,50,5,1.6217114591598512,30
0,0.7080000042915344,70,5,2.2654028701782227,30
0,0.7279999852180481,90,5,2.153058151245117,30
0,0.7559999823570251,10,5,0.5658726959228516,50
0,0.7400000095367432,30,5,1.5755665159225465,50
0,0.7360000014305115,50,5,1.7817358798980714,50
0,0.7200000286102295,70,5,2.4827586078643797,50
0,0.7080000042915344,90,5,2.618581579208374,50
0,0.699999988079071,10,5,0.6883986377716065,70
0,0.7039999961853027,30,5,1.7991047916412353,70
0,0.7440000176429749,50,5,2.6666630268096925,70
0,0.7440000176429749,70,5,2.3472763175964357,70
0,0.7559999823570251,90,5,2.747896547317505,70
0,0.7919999957084656,10,5,0.5576186113357544,90
0,0.7039999961853027,30,5,1.6152770652770996,90
0,0.7599999904632568,50,5,2.408850601196289,90
0,0.7239999771118164,70,5,3.2702330226898195,90
0,0.7239999771118164,90,5,2.630121114730835,90
